Наименование;ИНН;КПП;ОГРН;ФИОЛица;КонтактныйEmail
ООО 1;7056346988;388415398;2168489331612;Артёмов Э. Н. ;test1@mail.ru
ООО 2;5623886273;991850493;4537898702280;Борхес Л. А. ;test2@mail.ru
ООО 3;8087867325;726865016;4175309596169;Ярыкин П. Д. ;test3@mail.ru
ООО 4;8121377526;940914882;2615599939251;Богданова Э. Г. ;test4@mail.ru
ООО 5;1784163235;933674357;5648336067831;Кононова А. А. ;test5@mail.ru
ООО 6;1433361489;185156225;1220921664492;Проскура Н. З. ;test6@mail.ru
ООО 7;7354980273;627254004;3800528212464;Пермяков Р. Э. ;test7@mail.ru
ООО 8;3693637640;926870898;2597284708954;Шурьева Р. Т. ;test8@mail.ru
ООО 9;6399979434;497196116;4978976974904;Язынин А. А. ;test9@mail.ru
ООО 10;7918002003;452814552;1373754700532;Эпингер Ф. С.;test10@mail.ru
